,game,team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,year_month,home,away,fl_home
5919,SAC @ TOR 2017-12-17,TOR,240.0,36.0,85.0,0.424,13.0,30.0,0.433,23.0,28.0,0.821,12.0,34.0,46.0,20.0,8.0,9.0,12.0,13.0,108.0,,0.555,0.5,0.353,0.329,31.6,85.0,59.0,55.6,8.7,16.4,11.0,100.0,117.4,101.1,201712,TOR,SAC,1
5920,SAC @ UTA 2016-01-14,SAC,240.0,34.0,74.0,0.459,5.0,11.0,0.455,30.0,42.0,0.7140000000000001,14.0,40.0,54.0,19.0,12.0,2.0,15.0,29.0,103.0,,0.557,0.493,0.149,0.568,33.3,80.0,58.7,55.9,12.6,4.1,14.0,100.0,107.9,105.8,201601,UTA,SAC,0
5921,SAC @ UTA 2016-01-14,UTA,240.0,35.0,83.0,0.422,6.0,34.0,0.17600000000000002,25.0,34.0,0.735,10.0,28.0,38.0,12.0,8.0,3.0,13.0,26.0,101.0,,0.516,0.458,0.41,0.41,20.0,66.7,41.3,34.3,8.4,4.8,11.7,100.0,105.8,107.9,201601,UTA,SAC,1
5922,SAC @ UTA 2016-12-10,SAC,240.0,34.0,90.0,0.378,9.0,26.0,0.34600000000000003,7.0,13.0,0.5379999999999999,12.0,22.0,34.0,17.0,10.0,4.0,10.0,14.0,84.0,,0.439,0.428,0.289,0.14400000000000002,22.6,62.9,38.6,50.0,11.0,8.3,9.5,100.0,92.3,114.3,201612,UTA,SAC,0
5923,SAC @ UTA 2016-12-10,UTA,240.0,37.0,77.0,0.481,13.0,29.0,0.448,17.0,18.0,0.944,13.0,41.0,54.0,23.0,9.0,10.0,22.0,16.0,104.0,,0.612,0.565,0.377,0.234,37.1,77.4,61.4,62.2,9.9,15.6,20.6,100.0,114.3,92.3,201612,UTA,SAC,1
5924,SAC @ UTA 2016-12-21,SAC,240.0,34.0,74.0,0.459,10.0,21.0,0.476,16.0,24.0,0.667,8.0,33.0,41.0,13.0,5.0,3.0,10.0,19.0,94.0,,0.556,0.527,0.284,0.324,18.2,82.5,48.8,38.2,5.8,6.4,10.6,100.0,109.3,108.2,201612,UTA,SAC,0
5925,SAC @ UTA 2016-12-21,UTA,240.0,33.0,74.0,0.446,9.0,27.0,0.333,18.0,22.0,0.818,7.0,36.0,43.0,19.0,7.0,6.0,11.0,22.0,93.0,,0.556,0.507,0.365,0.297,17.5,81.8,51.2,57.6,8.1,11.3,11.6,100.0,108.2,109.3,201612,UTA,SAC,1
5926,SAC @ UTA 2018-03-17,SAC,240.0,37.0,86.0,0.43,14.0,21.0,0.667,9.0,14.0,0.643,3.0,30.0,33.0,23.0,11.0,5.0,13.0,30.0,97.0,,0.526,0.512,0.244,0.163,7.0,78.9,40.7,62.2,11.2,10.0,12.4,100.0,99.0,105.2,201803,UTA,SAC,0
5927,SAC @ UTA 2018-03-17,UTA,240.0,33.0,74.0,0.446,6.0,24.0,0.25,31.0,38.0,0.816,8.0,40.0,48.0,21.0,8.0,8.0,15.0,13.0,103.0,,0.568,0.486,0.324,0.514,21.1,93.0,59.3,63.6,8.2,12.3,14.2,100.0,105.2,99.0,201803,UTA,SAC,1
5928,SAC @ WAS 2015-12-21,SAC,240.0,37.0,91.0,0.407,7.0,22.0,0.318,18.0,22.0,0.818,13.0,33.0,46.0,24.0,8.0,3.0,15.0,16.0,99.0,,0.4920000000000001,0.445,0.242,0.242,27.7,89.2,54.8,64.9,8.2,5.1,13.0,100.0,101.6,116.0,201512,WAS,SAC,0
